,index,title,price,deal,location,shop,url,profit,tmall,mall,brand,pricelevel,province,city
28,29.0,雅诗兰黛唇膏口红倾慕魅色唇膏 持久保湿滋润 防水不脱色 豆沙色,270.0,8730.0,浙江 杭州,雅诗兰黛官方旗舰店,//detail.tmall.com/item.htm?id=43502413713&ns=1&abbucket=13,2357100.0,天猫,商家,其他,260-280,浙江, 杭州
29,30.0,卡姿兰口红持久保湿不脱色韩国防水不沾杯抖音哑光豆沙鎏金色正品,109.0,6710.0,江苏 南京,卡姿兰恋尚专卖店,//detail.tmall.com/item.htm?id=552847758383&ns=1&abbucket=13,731390.0,天猫,商家,其他,100-120,江苏, 南京
30,31.0,娇兰口红臻彩宝石唇膏 冰冰女王红 自带口红镜 持久保湿,435.0,1074.0,上海,guerlain娇兰官方旗舰店,//detail.tmall.com/item.htm?id=537487583257&ns=1&abbucket=13,467190.0,天猫,商家,其他,400以上,上海,上海
31,32.0,美康粉黛口红正品持久保湿滋润防水不易脱色学生西柚色国产唇膏,25.9,50998.0,江苏 南京,美康粉黛旗舰店,//detail.tmall.com/item.htm?id=520170342131&ns=1&abbucket=13,1320848.2,天猫,商家,其他,20-40,江苏, 南京
33,34.0,雅诗兰黛唇膏口红恋爱唇膏 持久保湿 滋润防水不脱色 310火星红,230.0,13679.0,浙江 杭州,雅诗兰黛官方旗舰店,//detail.tmall.com/item.htm?id=557921801068&ns=1&abbucket=13,3146170.0,天猫,商家,其他,220-240,浙江, 杭州
34,35.0,【4月聚】兰芝双色立体唇彩染唇膏 双色V型唇膏口红唇釉滋润,185.0,758.0,浙江 嘉兴,兰芝官方旗舰店,//detail.tmall.com/item.htm?id=561133642732&ns=1&abbucket=13,140230.0,天猫,商家,其他,180-200,浙江, 嘉兴
35,36.0,稚优泉口红哑光唇膏正品持久保湿防水不容易脱色豆沙色姨妈学生款,59.9,117473.0,上海,稚优泉化妆品旗舰店,//detail.tmall.com/item.htm?id=524116621469&ns=1&abbucket=13,7036632.7,天猫,商家,Chioture/稚优泉,40-60,上海,上海
36,37.0,美康粉黛雾面丝绒口红持久保湿滋润防水豆沙色哑光唇膏孕妇可用,39.0,140824.0,江苏 南京,美康粉黛旗舰店,//detail.tmall.com/item.htm?id=527284184837&ns=1&abbucket=13,5492136.0,天猫,商家,其他,20-40,江苏, 南京
40,41.0,专柜迪奥变色磨砂唇膏粉漾魅惑润唇蜜口红保湿滋润001/004/005,205.0,3843.0,浙江 杭州,小也官方旗舰店,//detail.tmall.com/item.htm?id=19219640853&ns=1&abbucket=13,787815.0,天猫,商家,Dior/迪奥,200-220,浙江, 杭州
41,42.0,【官方正品】阿玛尼小胖丁口红雾面哑光染唇液 持久滋润豆沙色506,340.0,4440.0,江苏 苏州,阿玛尼美妆官方旗舰店,//detail.tmall.com/item.htm?id=562297039068&ns=1&abbucket=13,1509600.0,天猫,商家,其他,340-360,江苏, 苏州
43,44.0,theSAEM得鲜口红正品持久保湿不容易脱色姨妈豆沙梅子色哑光唇膏,59.0,60142.0,浙江 杭州,thesaem得鲜旗舰店,//detail.tmall.com/item.htm?id=529490016681&ns=1&abbucket=13,3548378.0,天猫,商家,其他,40-60,浙江, 杭州
